scene_name;scene_id;scene_ver;cntrl_tag;inner_x;inner_y;level_name;class_name;(Inverted) Integrated Intensity Layer 1;Rel. Border Length;Sphericity;Mean Layer 1;Mean Layer 2;Mean Layer 3;Min. pixel value Layer 1;Max. pixel value Layer 1;Range Layer 1;Standard deviation Layer 1;Standard deviation Layer 2;Standard deviation Layer 3;HSI Transformation Hue(R='Layer 1' G='Layer 2' B='Layer 3');HSI Transformation Saturation(R=Layer 1 G=Layer 2 B=Layer 3);Area (Pxl);Border length (Pxl);Length/Width;Border index;Elliptic Fit;Roundness;Shape index;GLCM Homogeneity (quick 8/11) Layer 1 (0°);GLCM Homogeneity (quick 8/11) Layer 2 (0°);GLCM Homogeneity (quick 8/11) Layer 3 (0°);GLCM Homogeneity (quick 8/11) Layer 1 (45°);GLCM Homogeneity (quick 8/11) Layer 2 (45°);GLCM Homogeneity (quick 8/11) Layer 3 (45°);GLCM Homogeneity (quick 8/11) Layer 1 (90°);GLCM Homogeneity (quick 8/11) Layer 2 (90°);GLCM Homogeneity (quick 8/11) Layer 3 (90°);GLCM Homogeneity (quick 8/11) Layer 1 (135°);GLCM Homogeneity (quick 8/11) Layer 2 (135°);GLCM Homogeneity (quick 8/11) Layer 3 (135°);X Center (Pxl);Y Center (Pxl)
image0050;80F637DD-91AF-11E0-AC93-002314783460;26;0;478;1743;Cell Level (250x250ROI);Granulocyte nucleus;83023;0.15533980583;0.72197909186;174.39514563;183.38349515;192.89417476;118;224;106;28.376528242;21.536230918;13.11248812;0.58568629509;0.095902476835;1030;160;1.8539845954;1.1764705882;0.86019417476;0.25900703141;1.2463539057;0.12309712172;0.13190099597;0.22251348197;0.080564565957;0.089452385902;0.16298690438;0.21478064358;0.29180938005;0.28448826075;0.11595645547;0.15037743747;0.21485359967;480.78349515;162.86893204
image0050;80F637DD-91AF-11E0-AC93-002314783460;26;0;1675;266;Cell Level (250x250ROI);Granulocyte nucleus;156181;0.1249263406;0.58934993556;162.96641131;172.73482616;189.67059517;100;212;112;30.059664549;22.987950929;14.62851452;0.60569984774;0.14079242927;1697;212;1.1739130435;1.2619047619;0.84207424867;0.4043900792;1.2865745268;0.19385321438;0.27198800445;0.28187423944;0.15907418728;0.23028862476;0.23289708793;0.19900879264;0.27329072356;0.27299714088;0.12522056699;0.17615501583;0.21288408339;1668.4039481;1625.4988214
image0050;80F637DD-91AF-11E0-AC93-002314783460;26;0;284;159;Cell Level (250x250ROI);Granulocyte nucleus;127664;0.13004791239;0.65041827531;167.61875428;176.6036961;191.25598905;129;211;82;20.563230246;15.150071553;8.9682022543;0.60331364259;0.12358951418;1461;190;1.3922457895;1.2025316456;0.84257357974;0.36907907554;1.2427063046;0.27120089531;0.33135178685;0.30755448341;0.16293044388;0.2195443809;0.24910835922;0.20978571475;0.29015833139;0.28629106283;0.16697336733;0.2480815202;0.25022828579;287.13723477;1731.903833
image0050;80F637DD-91AF-11E0-AC93-002314783460;26;0;619;1706;Cell Level (250x250ROI);Granulocyte nucleus;211101;0.11146245059;0.57873591808;171.56086957;178.89051383;191.16363636;118;222;104;25.352277896;19.537747718;12.128564503;0.60434855664;0.10254443351;2530;282;1.7993000705;1.3301886792;0.84031620553;0.41652349399;1.4016153865;0.16565926373;0.21619597077;0.26093277335;0.13800251484;0.17877928913;0.20395293832;0.23595587909;0.30941921473;0.29412975907;0.18784210086;0.25323963165;0.23205260932;635.70671937;186.54229249
image0050;80F637DD-91AF-11E0-AC93-002314783460;26;0;431;1730;Cell Level (250x250ROI);Lymphocyte Nucleus;79200;0.16138917263;0.66600561903;174.1011236;180.40245148;187.72522983;117;220;103;25.899881661;19.762518411;11.934836984;0.5895811466;0.072574721275;979;158;1.3959631206;1.234375;0.86312563841;0.35379669712;1.2624254749;0.12454038113;0.15005603433;0.23291349411;0.10728841275;0.11932682246;0.17389369011;0.2170432359;0.28729683161;0.25952908397;0.13649557531;0.18385966122;0.19826734066;441.09039837;173.86976507
image0050;80F637DD-91AF-11E0-AC93-002314783460;26;0;721;1256;Cell Level (250x250ROI);Lymphocyte Nucleus;85995;0.16020236088;0.55872258468;182.4915683;181.29426644;193.23102867;163;214;51;8.1533787409;7.0978644992;5.6818917521;0.68338395611;0.061774562337;1186;190;1.65625;1.3194444444;0.75716694772;0.53668515244;1.3792762723;0.3131429553;0.44064384699;0.31926771998;0.25420331955;0.33817592263;0.26761388779;0.28210940957;0.37852710485;0.32197040319;0.22448611259;0.29964575171;0.26204279065;718.84148398;638.06661046
image0050;80F637DD-91AF-11E0-AC93-002314783460;26;0;408;491;Cell Level (250x250ROI);Lymphocyte Nucleus;79247;0.17119838872;0.56041786557;175.19436052;181.97885196;193.58509567;143;207;64;17.112608745;12.545929954;7.9658801233;0.6051819808;0.095000780315;993;170;1.536405158;1.2878787879;0.83887210473;0.46705674501;1.3486967339;0.1787161231;0.25650718808;0.31228193641;0.12894438207;0.20365703106;0.2403562665;0.27767568827;0.3767901957;0.30564326048;0.21512055397;0.31445491314;0.27454945445;417.50302115;1411.4023162
image0050;80F637DD-91AF-11E0-AC93-002314783460;26;0;1604;1525;Cell Level (250x250ROI);Lymphocyte Nucleus;68954;0.18599311137;0.52187809651;175.83352468;178.81056257;190.39494834;147;209;62;13.67839821;10.479313328;8.3345750315;0.63259218376;0.076480094552;871;162;1.7142857143;1.3064516129;0.74741676234;0.53966666646;1.3722901488;0.1836925447;0.25223073363;0.28897204995;0.19857291877;0.27897542715;0.26980522275;0.32888031006;0.46233794093;0.35305824876;0.16263888776;0.22753971815;0.23916848004;1598.4690011;380.03616533
image0050;80F637DD-91AF-11E0-AC93-002314783460;26;0;1231;270;Cell Level (250x250ROI);Lymphocyte Nucleus;56354;0.17286914766;0.76674223778;187.34813926;192.07923169;200.65786315;148;221;73;16.766636382;13.289950111;10.290585389;0.60742310814;0.066330437696;833;144;1.137456502;1.2203389831;0.93517406963;0.10017054194;1.2473260716;0.2087739259;0.27148339152;0.30001977086;0.15551230311;0.20339585841;0.22871336341;0.20653507113;0.30960297585;0.28274923563;0.14631415904;0.23091858625;0.23312905431;1235.8373349;1634.1470588
image0050;80F637DD-91AF-11E0-AC93-002314783460;26;0;192;1673;Cell Level (250x250ROI);Lymphocyte Nucleus;75982;0.17264791465;0.54603630241;181.30261882;183.74587779;187.60814743;160;216;56;11.129760304;13.89895013;21.006619703;0.60208685843;0.033610100091;1031;178;1.7925433156;1.328358209;0.83317167798;0.41898125757;1.3858961182;0.26829785109;0.30418169498;0.22915138304;0.25589314103;0.28861162066;0.21842557192;0.28277385235;0.36025369167;0.28789457679;0.19044348598;0.22899629176;0.18060322106;184.66294859;227.85305529
