scene_name;scene_id;scene_ver;cntrl_tag;inner_x;inner_y;level_name;class_name;(Inverted) Integrated Intensity Layer 1;Rel. Border Length;Sphericity;Mean Layer 1;Mean Layer 2;Mean Layer 3;Min. pixel value Layer 1;Max. pixel value Layer 1;Range Layer 1;Standard deviation Layer 1;Standard deviation Layer 2;Standard deviation Layer 3;HSI Transformation Hue(R='Layer 1' G='Layer 2' B='Layer 3');HSI Transformation Saturation(R=Layer 1 G=Layer 2 B=Layer 3);Area (Pxl);Border length (Pxl);Length/Width;Border index;Elliptic Fit;Roundness;Shape index;GLCM Homogeneity (quick 8/11) Layer 1 (0°);GLCM Homogeneity (quick 8/11) Layer 2 (0°);GLCM Homogeneity (quick 8/11) Layer 3 (0°);GLCM Homogeneity (quick 8/11) Layer 1 (45°);GLCM Homogeneity (quick 8/11) Layer 2 (45°);GLCM Homogeneity (quick 8/11) Layer 3 (45°);GLCM Homogeneity (quick 8/11) Layer 1 (90°);GLCM Homogeneity (quick 8/11) Layer 2 (90°);GLCM Homogeneity (quick 8/11) Layer 3 (90°);GLCM Homogeneity (quick 8/11) Layer 1 (135°);GLCM Homogeneity (quick 8/11) Layer 2 (135°);GLCM Homogeneity (quick 8/11) Layer 3 (135°);X Center (Pxl);Y Center (Pxl)
image0047;80F637D7-91AF-11E0-AC93-002314783460;23;0;1311;1365;Cell Level (250x250ROI);Lymphocyte Nucleus;174431;0.10731244065;0.72707146927;172.17426401;180.65289649;194.34425451;142;220;78;16.747567825;12.895504995;8.7332369745;0.60292710787;0.11407587304;2106;226;1.2291666667;1.2150537634;0.89933523267;0.24270233256;1.231173515;0.25888848305;0.36591693759;0.29900491238;0.19307442009;0.25922966003;0.23591756821;0.25577282906;0.34130093455;0.29831910133;0.21687398851;0.3094163239;0.24155533314;1317.8670465;523.93494777
image0047;80F637D7-91AF-11E0-AC93-002314783460;23;0;1342;703;Cell Level (250x250ROI);Lymphocyte Nucleus;80245;0.15438596491;0.67118861541;184.60964912;188.77719298;198.66491228;165;211;46;10.522544463;8.1736314922;5.3519955691;0.61724812249;0.070748593682;1140;176;1.4692940062;1.2753623188;0.88421052632;0.33958598195;1.3031675311;0.31707432866;0.42321628332;0.3200468123;0.24918495119;0.37305226922;0.25490003824;0.27116879821;0.37947139144;0.28964817524;0.223386392;0.3080933094;0.23818577826;1332.2298246;1195.927193
image0047;80F637D7-91AF-11E0-AC93-002314783460;23;0;1356;663;Cell Level (250x250ROI);Lymphocyte Nucleus;91176;0.15180545321;0.57316390308;187.81061164;190.77818718;200.39056743;164;214;50;10.769588148;7.4850986499;5.0427062881;0.62735047742;0.062777185305;1357;206;1.5422224915;1.3552631579;0.8540899042;0.36198875948;1.3980326212;0.28387373686;0.41788649559;0.30692967772;0.24372297525;0.36296805739;0.25588676333;0.2786321938;0.38717389107;0.3135856986;0.21607814729;0.31377390027;0.26078090072;1350.0932203;1233.3393515
image0047;80F637D7-91AF-11E0-AC93-002314783460;23;0;1832;1750;Cell Level (250x250ROI);Lymphocyte Nucleus;54690;0.19746835443;0.53782182101;185.7721519;187.23670886;195.43291139;167;206;39;6.4685203972;5.9230012324;5.7821138774;0.64140024458;0.049432613089;790;156;1.490555059;1.3220338983;0.84303797468;0.40748840101;1.3875577306;0.29755699635;0.37349885702;0.29848343134;0.21289810538;0.28207564354;0.25884667039;0.31346678734;0.39500322938;0.29764819145;0.26868182421;0.37760135531;0.23944748938;1840.4227848;151.19746835
image0047;80F637D7-91AF-11E0-AC93-002314783460;23;0;1703;1285;Cell Level (250x250ROI);Lymphocyte Nucleus;53281;0.18341708543;0.66614806298;188.06407035;184.48492462;195.09798995;172;205;33;6.0839739654;5.5583721876;4.4609355194;0.72287326389;0.054398640034;796;146;1.2174494323;1.2586206897;0.85175879397;0.30994532465;1.2937081991;0.32868513465;0.3987133503;0.34750404954;0.27393987775;0.32950344682;0.28117191792;0.35000902414;0.46146163344;0.34834137559;0.26636120677;0.37442559004;0.29027360678;1710.2110553;618.63316583
image0047;80F637D7-91AF-11E0-AC93-002314783460;23;0;1899;1013;Cell Level (250x250ROI);Lymphocyte Nucleus;63016;0.17712177122;0.70371733645;177.4895449;177.10209102;190.5596556;161;198;37;5.7631779718;5.7307919128;4.9804484531;0.67146513116;0.070621268356;813;144;1.3666666667;1.2203389831;0.90159901599;0.23684133736;1.2625751229;0.32612356544;0.45008569956;0.35448953509;0.24144899845;0.31500071287;0.2499268204;0.29292652011;0.38901138306;0.32480701804;0.26221251488;0.36921495199;0.2783664465;1900.8530135;885.41758918
image0047;80F637D7-91AF-11E0-AC93-002314783460;23;0;1124;655;Cell Level (250x250ROI);Lymphocyte Nucleus;59788;0.19680851064;0.62041979645;175.49468085;177.54654255;186.38297872;151;215;64;12.477638441;13.276537606;16.499665621;0.63525891549;0.058418949772;752;148;1.667838817;1.275862069;0.81914893617;0.3160966541;1.3492511714;0.23794555664;0.27959734201;0.25773590803;0.21920727193;0.30007955432;0.22097878158;0.27787294984;0.37744799256;0.25013697147;0.19312399626;0.25222116709;0.19370131195;1117.3430851;1251.3470745
image0047;80F637D7-91AF-11E0-AC93-002314783460;23;0;1134;641;Cell Level (250x250ROI);Lymphocyte Nucleus;86046;0.16073059361;0.57085082693;176.41917808;178.80821918;188.34063927;144;214;70;13.926375136;10.759459087;8.0577788816;0.63326694244;0.063297338447;1095;176;1.6843878393;1.2753623188;0.86666666667;0.39197577788;1.3296753475;0.25254070759;0.28468206525;0.27619025111;0.19646911323;0.22914727032;0.22706797719;0.28776830435;0.36479267478;0.29067897797;0.20966805518;0.28009396791;0.23261348903;1148.190411;1263.3794521
image0047;80F637D7-91AF-11E0-AC93-002314783460;23;0;328;523;Cell Level (250x250ROI);Lymphocyte Nucleus;98195;0.15569972196;0.60932807438;163.9944393;165.93883225;173.25115848;133;219;86;19.03340721;19.571781879;22.879564117;0.63165798959;0.053429479293;1079;168;1.1052631579;1.2537313433;0.79425393883;0.59701674948;1.2786113877;0.25705933571;0.28784272075;0.23753623664;0.15295349061;0.15892462432;0.18729424477;0.19074268639;0.21761396527;0.21941667795;0.1863026619;0.18521262705;0.18511207402;331.49721965;1377.9624652
image0047;80F637D7-91AF-11E0-AC93-002314783460;23;0;1635;384;Cell Level (250x250ROI);Lymphocyte Nucleus;86075;0.15281757402;0.6878577234;172.78892073;176.03629417;190.59980898;149;210;61;13.503063131;10.302243375;7.0091576039;0.63627913628;0.093446516802;1047;160;1.0263157895;1.2307692308;0.81279847182;0.4109539716;1.2361940544;0.29070231318;0.37711200118;0.31547126174;0.21154469252;0.26403483748;0.2401638478;0.2893640995;0.36244753003;0.3038380444;0.26410329342;0.3246948719;0.25234889984;1644.3042025;1516.4780325
