scene_name;scene_id;scene_ver;cntrl_tag;inner_x;inner_y;level_name;class_name;(Inverted) Integrated Intensity Layer 1;Rel. Border Length;Sphericity;Mean Layer 1;Mean Layer 2;Mean Layer 3;Min. pixel value Layer 1;Max. pixel value Layer 1;Range Layer 1;Standard deviation Layer 1;Standard deviation Layer 2;Standard deviation Layer 3;HSI Transformation Hue(R='Layer 1' G='Layer 2' B='Layer 3');HSI Transformation Saturation(R=Layer 1 G=Layer 2 B=Layer 3);Area (Pxl);Border length (Pxl);Length/Width;Border index;Elliptic Fit;Roundness;Shape index;GLCM Homogeneity (quick 8/11) Layer 1 (0°);GLCM Homogeneity (quick 8/11) Layer 2 (0°);GLCM Homogeneity (quick 8/11) Layer 3 (0°);GLCM Homogeneity (quick 8/11) Layer 1 (45°);GLCM Homogeneity (quick 8/11) Layer 2 (45°);GLCM Homogeneity (quick 8/11) Layer 3 (45°);GLCM Homogeneity (quick 8/11) Layer 1 (90°);GLCM Homogeneity (quick 8/11) Layer 2 (90°);GLCM Homogeneity (quick 8/11) Layer 3 (90°);GLCM Homogeneity (quick 8/11) Layer 1 (135°);GLCM Homogeneity (quick 8/11) Layer 2 (135°);GLCM Homogeneity (quick 8/11) Layer 3 (135°);X Center (Pxl);Y Center (Pxl)
image0046;80F637D5-91AF-11E0-AC93-002314783460;30;0;1630;1799;Cell Level (250x250ROI);Tumor nucleus;310673;0.083254043768;0.62444677424;181.10061846;183.94576594;194.63962892;144;212;68;13.1287125;10.503880333;6.8615684958;0.63164259695;0.069559372575;4204;350;1.0451306456;1.3358778626;0.92055185538;0.24682039062;1.3495118404;0.3134098053;0.4224717319;0.32761734724;0.24703194201;0.33905988932;0.2542578876;0.31835189462;0.4021807313;0.31167149544;0.24459010363;0.33893761039;0.24873690307;1625.7078972;82.367745005
image0046;80F637D5-91AF-11E0-AC93-002314783460;30;0;1253;1797;Cell Level (250x250ROI);Tumor nucleus;373560;0.072115384615;0.65957645051;180.16826923;183.92127404;195.61858974;148;217;69;12.099254436;9.2810685437;6.0820345943;0.62618201777;0.078981862271;4992;360;1.4125654462;1.25;0.94711538462;0.23025432792;1.2738116634;0.29091399908;0.40306317806;0.3207937777;0.21756123006;0.30133548379;0.25442266464;0.27540308237;0.37608096004;0.31189146638;0.23860193789;0.34538882971;0.26054486632;1262.3523638;75.937299679
image0046;80F637D5-91AF-11E0-AC93-002314783460;30;0;1013;1760;Cell Level (250x250ROI);Tumor nucleus;266176;0.090512540894;0.60439734395;182.43293348;182.02589967;192.48800436;147;219;72;12.915509575;11.33848384;7.6732706091;0.67315092291;0.054351982732;3668;332;2.0449652054;1.2769230769;0.88495092694;0.30289211712;1.3704507374;0.25010079145;0.30966129899;0.28364989161;0.23033219576;0.29320973158;0.23551803827;0.29263079166;0.3678779304;0.30020865798;0.19815324247;0.24721631408;0.21837502718;995.83778626;132.39640131
image0046;80F637D5-91AF-11E0-AC93-002314783460;30;0;1079;1756;Cell Level (250x250ROI);Tumor nucleus;164078;0.1185520362;0.62825965125;180.75656109;184.160181;194.15113122;144;220;76;18.400460228;14.435083204;8.528565845;0.6243159246;0.068990430555;2210;262;2.1103948262;1.2843137255;0.89230769231;0.27385190377;1.3933016876;0.26362144947;0.33917888999;0.30906388164;0.23411132395;0.30742457509;0.25552585721;0.24381700158;0.3010661304;0.29897248745;0.17549824715;0.22838744521;0.2374894172;1063.7144796;133.62624434
image0046;80F637D5-91AF-11E0-AC93-002314783460;30;0;640;1748;Cell Level (250x250ROI);Tumor nucleus;256629;0.08609106743;0.65114206239;191.14605623;192.71211744;197.97312764;155;218;63;10.252124777;8.2791541898;6.232516682;0.62843501713;0.034484838887;4019;346;1.4590163934;1.3307692308;0.9109231152;0.26941762162;1.3644483622;0.27997332811;0.35964164138;0.30286940932;0.2260274291;0.29066753387;0.23139919341;0.30793574452;0.42292162776;0.30112150311;0.22569486499;0.32506132126;0.25508114696;630.10462802;142.80654392
image0046;80F637D5-91AF-11E0-AC93-002314783460;30;0;1857;1739;Cell Level (250x250ROI);Tumor nucleus;251794;0.096755833808;0.57487751188;183.34547524;185.07142857;195.00654525;147;213;66;13.672636065;11.091730518;7.9420003648;0.6419983568;0.05979835185;3514;340;1.6851851852;1.3821138211;0.82413204326;0.47134418664;1.4338973005;0.28159171343;0.36236488819;0.30384206772;0.22256851196;0.29961413145;0.24189399183;0.30872276425;0.41983556747;0.32263684273;0.23460641503;0.33317607641;0.26174980402;1847.6693227;155.75298805
image0046;80F637D5-91AF-11E0-AC93-002314783460;30;0;425;1733;Cell Level (250x250ROI);Tumor nucleus;219692;0.096185737977;0.60434478475;182.13366501;186.51409619;194.54361526;151;213;62;12.927058192;10.442500716;7.0824102903;0.60783711068;0.063790066985;3015;290;1.1579915905;1.2946428571;0.87462686567;0.36202738517;1.320366048;0.29341417551;0.38485217094;0.31906178594;0.22757981718;0.30697378516;0.25394594669;0.29530850053;0.38556933403;0.31990215182;0.23501391709;0.32190030813;0.25321283937;439.5384743;154.57761194
image0046;80F637D5-91AF-11E0-AC93-002314783460;30;0;366;1699;Cell Level (250x250ROI);Tumor nucleus;368795;0.077745383868;0.53900351587;183.31972789;186.09484937;193.3068999;151;219;68;11.464171149;9.9220059877;6.8672318786;0.6203552338;0.051664850125;5145;400;1.1651812428;1.3793103448;0.91137026239;0.31741754161;1.3941429614;0.32105636597;0.42335143685;0.33045601845;0.252191782;0.34184220433;0.26621225476;0.30888912082;0.40941441059;0.31851780415;0.24866452813;0.33312857151;0.25738024712;356.11321672;177.54703596
image0046;80F637D5-91AF-11E0-AC93-002314783460;30;0;1546;1680;Cell Level (250x250ROI);Tumor nucleus;360764;0.079132355895;0.51043214934;182.5428801;184.87186182;195.57340831;151;220;69;12.386423927;9.3373567856;6.7544056908;0.63687788036;0.066627300361;4979;394;1.4000254239;1.3680555556;0.86985338421;0.43322066517;1.3959349068;0.29488366842;0.39440634847;0.30841743946;0.22592923045;0.3202380538;0.23967775702;0.27831274271;0.3617926836;0.29218310118;0.22845739126;0.2983391583;0.24304936826;1532.5439847;197.46043382
image0046;80F637D5-91AF-11E0-AC93-002314783460;30;0;445;1679;Cell Level (250x250ROI);Tumor nucleus;181916;0.10723404255;0.62944956543;177.58893617;178.32;186.05702128;145;218;73;16.822994804;13.59989612;10.059278751;0.65227805695;0.045513386425;2350;252;1.1538461538;1.2727272727;0.87489361702;0.38614135943;1.2995907703;0.26971319318;0.3393047452;0.28060814738;0.19306758046;0.2383351177;0.21888248622;0.25767245889;0.33374530077;0.27897983789;0.20536442101;0.25621065497;0.22391666472;444.86765957;208.56468085
